40.0009	3	0	0	3	0	
91.7418	7	0	0	6	0.274246	
99.2712	8	0	0	7	0.253446	
105.707	9	0	0	7	0.543602	
108.968	10	0	0	8	0.527333	
111.323	10	0	0	7	0.932994	
115.551	10	0	0	7	0.898852	
158.184	14	0	0	10	0.656598	
164.537	15	0	0	10	0.631248	
166.013	15	0	0	10	0.625633	
187.877	18	0	0	11	0.552828	
195.563	20	0	0	11	0.5311	
199.494	20	0	0	11	0.520634	
199.884	20	0	0	10	1.02453	
200.563	20	0	0	10	1.02107	
208.347	20	0	0	9	1.33162	
214.936	20	0	0	9	1.2908	
217.985	21	0	0	10	1.27274	
221.612	21	0	0	10	1.25192	
223.498	21	0	0	9	2.13311	
237.052	22	0	0	9	2.04133	
240.797	23	0	0	10	2.00958	
248.432	23	0	0	9	2.52778	
251.645	23	0	0	9	2.4955	
251.956	23	0	0	9	2.49242	
253.853	23	0	0	9	2.47379	
260.457	26	0	0	10	2.41107	
285.009	35	0	0	11	2.20337	
299.281	38	0	0	11	2.0983	
305.143	38	0	0	11	2.05799	
311.441	40	0	0	11	2.01637	
334.542	49	0	0	10	2.81054	
342.247	51	0	0	10	2.99962	
345.718	51	0	0	10	2.9695	
347.774	52	0	0	11	2.95195	
350.078	52	0	0	11	2.93252	
358.773	53	0	0	10	3.78721	
363.677	55	0	0	9	3.81231	
367.405	56	0	0	9	4.18141	
386.317	57	0	0	10	3.97671	
390.676	58	0	0	10	4.65756	
396.267	58	0	0	9	5.17265	
428.755	62	0	0	10	4.78071	
432.365	62	0	0	10	4.7408	
439.432	63	0	0	11	4.66455	
451.334	65	0	0	11	4.54154	
461.827	66	0	0	11	4.43835	
461.868	66	0	0	11	4.43796	
462.395	66	0	0	11	4.43291	
473.024	68	0	0	11	4.3333	
481.806	68	0	0	11	4.25431	
486.941	69	0	0	11	4.20945	
489.738	70	0	0	10	4.43563	
494.39	70	0	0	9	5.14519	
510.66	75	0	0	10	4.98127	
511.864	75	0	0	9	5.12262	
520.577	76	0	0	10	5.03688	
527.717	76	0	0	10	4.96873	
531.967	77	0	0	10	4.92904	
535.705	78	0	0	9	5.63783	
537.428	78	0	0	8	5.9736	
555.774	79	0	0	8	6.06273	
560.825	80	0	0	9	6.00813	
567.12	81	0	0	10	5.94143	
581.402	83	0	0	9	6.34003	
596.052	86	0	0	10	6.1842	
607.022	89	0	0	11	6.07245	
615.746	91	0	0	11	5.98641	
622.332	91	0	0	11	5.92305	
638.66	92	0	0	11	5.77162	
642.476	92	0	0	11	5.73734	
671.734	97	4	0.0412371	12	5.48745	
677.052	97	4	0.0412371	12	5.44434	
686.186	97	4	0.0412371	11	6.02542	
688.244	97	4	0.0412371	10	6.21936	
689.555	97	4	0.0412371	9	6.39423	
696.046	98	4	0.0408163	10	6.33461	
704.024	98	4	0.0408163	9	6.41491	
718.928	99	4	0.040404	10	6.28192	
719.825	99	4	0.040404	10	6.27409	
723.329	100	4	0.04	10	6.33766	
729.02	100	4	0.04	10	6.28818	
730.45	100	4	0.04	10	6.27587	
736.011	100	4	0.04	10	6.22845	
752.628	102	4	0.0392157	12	6.09094	
752.706	102	4	0.0392157	11	6.43015	
760.547	106	7	0.0660377	12	6.36385	
760.763	106	7	0.0660377	11	6.58971	
763.131	107	7	0.0654206	11	6.83078	
775.007	107	7	0.0654206	10	7.23571	
784.628	107	7	0.0654206	10	7.14699	
797.683	110	7	0.0636364	10	7.03002	
801.517	110	7	0.0636364	10	6.99639	
809.182	113	7	0.0619469	9	7.01	
817.208	113	7	0.0619469	9	6.94115	
818.835	113	7	0.0619469	9	6.92736	
819.788	113	7	0.0619469	8	7.28879	
820.672	113	7	0.0619469	8	7.28094	
822.343	113	7	0.0619469	7	7.3387	
836.584	117	7	0.0598291	10	7.21378	
837.617	117	7	0.0598291	9	7.31287	
848.856	120	7	0.0583333	10	7.21606	
852.386	120	7	0.0583333	10	7.18617	
856.391	120	7	0.0583333	10	7.15256	
875.193	122	7	0.057377	10	7.20575	
875.507	122	7	0.057377	10	7.20316	
881.978	122	7	0.057377	10	7.15031	
889.29	124	7	0.0564516	9	7.24279	
894.115	126	7	0.0555556	10	7.20371	
899.392	126	7	0.0555556	10	7.16144	
908.197	126	7	0.0555556	10	7.092	
915.338	126	7	0.0555556	10	7.03668	
922.396	127	7	0.0551181	10	6.98283	
925.112	127	7	0.0551181	9	7.54459	
931.186	127	7	0.0551181	8	7.53769	
940.676	127	7	0.0551181	7	8.41509	
955.585	132	7	0.0530303	10	8.2838	
959.824	132	7	0.0530303	10	8.24721	
962.334	132	7	0.0530303	10	8.22571	
965.235	132	7	0.0530303	10	8.20098	
975.396	133	7	0.0526316	10	8.11555	
981.082	133	7	0.0526316	10	8.06851	
986.453	133	7	0.0526316	10	8.02458	
990.828	133	7	0.0526316	9	8.26075	
1019.48	137	7	0.0510949	9	8.05163	
1020.58	137	7	0.0510949	8	8.11426	
1021.26	137	7	0.0510949	8	8.10885	
1037.61	138	7	0.0507246	9	7.98108	
1041.24	138	7	0.0507246	9	7.95329	
1052.68	139	7	0.0503597	10	7.86686	
1060.34	139	7	0.0503597	10	7.81002	
1071.92	142	7	0.0492958	11	7.72564	
1083.36	143	7	0.048951	10	7.85017	
1085.22	143	7	0.048951	10	7.83674	
1085.45	143	7	0.048951	10	7.83503	
1094.77	143	7	0.048951	10	7.76834	
1114.08	146	7	0.0479452	11	7.63373	
1117.25	146	7	0.0479452	11	7.61204	
1119.54	146	7	0.0479452	11	7.59646	
1125.66	147	7	0.047619	11	7.55515	
